unique_id,class_id,class_name,urls,flickr_urls
0,n01440764,tench,1133,375
1,n01443537,goldfish,1172,664
2,n01484850,great white shark,1242,1203
3,n01491361,tiger shark,1019,780
4,n01494475,hammerhead,1094,771
5,n01496331,electric ray,967,328
6,n01498041,stingray,1364,1351
7,n01514668,cock,1361,1269
8,n01514859,hen,1261,1012
9,n01518878,ostrich,1393,975
10,n01530575,brambling,1488,670
11,n01531178,goldfinch,1379,1237
12,n01532829,house finch,1487,1353
13,n01534433,junco,1456,1415
14,n01537544,indigo bunting,1296,1058
15,n01558993,robin,1329,1106
16,n01560419,bulbul,1036,878
17,n01580077,jay,1257,1253
18,n01582220,magpie,1402,1368
19,n01592084,chickadee,1408,1376
20,n01601694,water ouzel,1028,706
21,n01608432,kite,1166,779
22,n01614925,bald eagle,1263,1126
23,n01616318,vulture,1418,1284
24,n01622779,great grey owl,1117,940
25,n01629819,European fire salamander,1153,732
26,n01630670,common newt,1033,239
27,n01631663,eft,1033,694
28,n01632458,spotted salamander,1077,592
29,n01632777,axolotl,1023,525
30,n01641577,bullfrog,1192,947
31,n01644373,tree frog,1225,958
32,n01644900,tailed frog,1095,169
33,n01664065,loggerhead,1208,851
34,n01665541,leatherback turtle,969,579
35,n01667114,mud turtle,940,570
36,n01667778,terrapin,1056,724
37,n01669191,box turtle,1328,1254
38,n01675722,banded gecko,679,214
39,n01677366,common iguana,1290,1073
40,n01682714,American chameleon,999,836
41,n01685808,whiptail,891,423
42,n01687978,agama,1121,766
43,n01688243,frilled lizard,669,376
44,n01689811,alligator lizard,902,678
45,n01692333,Gila monster,1119,711
46,n01693334,green lizard,1242,1227
47,n01694178,African chameleon,992,297
48,n01695060,Komodo dragon,1557,1506
49,n01697457,African crocodile,1188,775
50,n01698640,American alligator,1262,1176
51,n01704323,triceratops,1110,814
52,n01728572,thunder snake,809,431
53,n01728920,ringneck snake,921,519
54,n01729322,hognose snake,1282,769
55,n01729977,green snake,1192,1173
56,n01734418,king snake,1042,691
57,n01735189,garter snake,1296,977
58,n01737021,water snake,910,782
59,n01739381,vine snake,701,421
60,n01740131,night snake,757,480
61,n01742172,boa constrictor,1148,793
62,n01744100,reticulated python,1381,561
63,n01748264,Indian cobra,1014,456
64,n01749939,green mamba,884,564
65,n01751748,sea snake,1108,735
66,n01753488,horned viper,933,356
67,n01755581,diamondback,1207,780
68,n01756291,sidewinder,1186,381
69,n01768244,trilobite,1353,1012
70,n01770081,harvestman,1040,764
71,n01770393,scorpion,1197,906
72,n01773157,black and gold garden spider,1029,754
73,n01773549,barn spider,743,404
74,n01773797,garden spider,1372,1340
75,n01774384,black widow,1272,1052
76,n01774750,tarantula,1597,1410
77,n01775062,wolf spider,1413,1376
78,n01776313,tick,1066,575
79,n01784675,centipede,1332,1148
80,n01795545,black grouse,691,138
81,n01796340,ptarmigan,1074,831
82,n01797886,ruffed grouse,1238,910
83,n01798484,prairie chicken,854,384
84,n01806143,peacock,1501,1426
85,n01806567,quail,1263,1154
86,n01807496,partridge,851,504
87,n01817953,African grey,1170,1006
88,n01818515,macaw,1530,1363
89,n01819313,sulphur-crested cockatoo,1380,1326
90,n01820546,lorikeet,1522,1497
91,n01824575,coucal,1061,711
92,n01828970,bee eater,1249,1009
93,n01829413,hornbill,1167,1045
94,n01833805,hummingbird,1361,1291
